------------------------------EXP1------------------------------

===========================================================================
  Dataset: fisv  |  Label: PCS  |  Seed: 999
  Backbone: vivit  |  Neck: TQN  |  Layers: 2  |  Query Var: 2  |  PE: query_pe
  Att Loss: True  |  Dino Loss: True  |  Epochs: 1000  |  LR: 5e-05  |  Batch: 32
===========================================================================
Epoch  |  Train SRCC  |  Test SRCC  |  Best SRCC  |        RL2  | Note
-------+-------------+------------+------------+------------+--------------------
    0  |      0.0091  |     0.0269  |     0.0269  |     3.1685  | бя NEW BEST
    1  |      0.1275  |     0.1590  |     0.1590  |     3.4419  | бя NEW BEST
    2  |      0.1362  |     0.3907  |     0.3907  |     2.3070  | бя NEW BEST
    3  |      0.2124  |     0.4390  |     0.4390  |     1.7752  | бя NEW BEST
    4  |      0.2574  |     0.4267  |     0.4390  |     2.2475  | 
    5  |      0.3780  |     0.4502  |     0.4502  |     3.2964  | бя NEW BEST
    6  |      0.3798  |     0.4658  |     0.4658  |     3.5441  | бя NEW BEST
    7  |      0.3891  |     0.5218  |     0.5218  |     1.7610  | бя NEW BEST
    8  |      0.5355  |     0.5495  |     0.5495  |     2.4579  | бя NEW BEST
    9  |      0.5708  |     0.6042  |     0.6042  |     2.2939  | бя NEW BEST
   10  |      0.6189  |     0.6210  |     0.6210  |     3.6325  | бя NEW BEST
   11  |      0.5686  |     0.6451  |     0.6451  |     0.8082  | бя NEW BEST
   12  |      0.5178  |     0.6675  |     0.6675  |     2.0706  | бя NEW BEST
   13  |      0.5693  |     0.6813  |     0.6813  |     3.6176  | бя NEW BEST
   14  |      0.5769  |     0.6807  |     0.6813  |     1.6966  | 
   15  |      0.6808  |     0.7012  |     0.7012  |     2.5434  | бя NEW BEST
   16  |      0.7168  |     0.7072  |     0.7072  |     3.0010  | бя NEW BEST
   17  |      0.7303  |     0.7102  |     0.7102  |     3.3686  | бя NEW BEST
   18  |      0.7069  |     0.7154  |     0.7154  |     4.4991  | бя NEW BEST
   19  |      0.7393  |     0.7095  |     0.7154  |     5.0680  | 
   20  |      0.7193  |     0.7245  |     0.7245  |     5.0925  | бя NEW BEST
   21  |      0.5676  |     0.7209  |     0.7245  |     2.7941  | 
   22  |      0.4321  |     0.6945  |     0.7245  |     1.9483  | 
   23  |      0.5050  |     0.6977  |     0.7245  |     2.5664  | 
   24  |      0.7508  |     0.7250  |     0.7250  |     2.9408  | бя NEW BEST
   25  |      0.7612  |     0.7450  |     0.7450  |     3.9610  | бя NEW BEST
   26  |      0.6637  |     0.7563  |     0.7563  |     3.4398  | бя NEW BEST
   27  |      0.7402  |     0.7568  |     0.7568  |     1.7122  | бя NEW BEST
   28  |      0.7976  |     0.7674  |     0.7674  |     4.2876  | бя NEW BEST
   29  |      0.7174  |     0.7690  |     0.7690  |     4.0080  | бя NEW BEST
   30  |      0.7672  |     0.7778  |     0.7778  |     2.1121  | бя NEW BEST
   31  |      0.8127  |     0.7829  |     0.7829  |     3.3053  | бя NEW BEST
   32  |      0.8297  |     0.7770  |     0.7829  |     2.9465  | 
   33  |      0.8450  |     0.7821  |     0.7829  |     3.0390  | 
   34  |      0.8389  |     0.7791  |     0.7829  |     3.3866  | 
   35  |      0.8392  |     0.7836  |     0.7836  |     2.8847  | бя NEW BEST
   36  |      0.8425  |     0.7804  |     0.7836  |     3.1873  | 
   37  |      0.8372  |     0.7809  |     0.7836  |     3.5424  | 
   38  |      0.8458  |     0.7837  |     0.7837  |     3.2645  | бя NEW BEST
   39  |      0.8471  |     0.7806  |     0.7837  |     3.4117  | 
   40  |      0.8515  |     0.7791  |     0.7837  |     3.0552  | 
   41  |      0.8460  |     0.7890  |     0.7890  |     3.4385  | бя NEW BEST
   42  |      0.8482  |     0.7748  |     0.7890  |     3.0795  | 
   43  |      0.8512  |     0.7854  |     0.7890  |     3.2669  | 
   44  |      0.8528  |     0.7891  |     0.7891  |     3.3779  | бя NEW BEST
   45  |      0.8542  |     0.7830  |     0.7891  |     3.1466  | 
   46  |      0.8507  |     0.7843  |     0.7891  |     2.9594  | 
   47  |      0.8472  |     0.7887  |     0.7891  |     3.2344  | 
   48  |      0.8526  |     0.7921  |     0.7921  |     3.5160  | бя NEW BEST
   49  |      0.8584  |     0.7902  |     0.7921  |     3.2300  | 
   50  |      0.8586  |     0.7943  |     0.7943  |     3.3185  | бя NEW BEST
   51  |      0.8626  |     0.7931  |     0.7943  |     2.9771  | 
   52  |      0.8467  |     0.8011  |     0.8011  |     3.8226  | бя NEW BEST
   53  |      0.8616  |     0.7985  |     0.8011  |     3.3607  | 
   54  |      0.8613  |     0.7944  |     0.8011  |     3.0915  | 
   55  |      0.8688  |     0.8019  |     0.8019  |     3.5303  | бя NEW BEST
   56  |      0.8680  |     0.7934  |     0.8019  |     3.2687  | 
   57  |      0.8570  |     0.7935  |     0.8019  |     3.6680  | 
   58  |      0.8622  |     0.8008  |     0.8019  |     3.6219  | 
   59  |      0.8586  |     0.7938  |     0.8019  |     3.2943  | 
   60  |      0.8543  |     0.8018  |     0.8019  |     3.4988  | 
   61  |      0.8669  |     0.7990  |     0.8019  |     2.9711  | 
   62  |      0.8748  |     0.7997  |     0.8019  |     3.4452  | 
   63  |      0.8719  |     0.7977  |     0.8019  |     3.6160  | 
   64  |      0.8736  |     0.8033  |     0.8033  |     3.4726  | бя NEW BEST
   65  |      0.8763  |     0.8009  |     0.8033  |     3.4094  | 
   66  |      0.8724  |     0.8039  |     0.8039  |     3.3879  | бя NEW BEST
   67  |      0.8685  |     0.8012  |     0.8039  |     3.3432  | 
   68  |      0.8669  |     0.7948  |     0.8039  |     3.3276  | 
   69  |      0.8742  |     0.7986  |     0.8039  |     3.4430  | 
   70  |      0.8748  |     0.7992  |     0.8039  |     3.4495  | 
   71  |      0.8764  |     0.7936  |     0.8039  |     3.4438  | 
   72  |      0.8748  |     0.7997  |     0.8039  |     3.3804  | 
   73  |      0.8705  |     0.7940  |     0.8039  |     3.4909  | 
   74  |      0.8722  |     0.7947  |     0.8039  |     3.4374  | 
   75  |      0.8761  |     0.7922  |     0.8039  |     3.3838  | 
   76  |      0.8718  |     0.7971  |     0.8039  |     3.4512  | 
   77  |      0.8773  |     0.7966  |     0.8039  |     3.3136  | 
   78  |      0.8765  |     0.7978  |     0.8039  |     3.3074  | 
   79  |      0.8726  |     0.7961  |     0.8039  |     3.5039  | 
   80  |      0.8713  |     0.7929  |     0.8039  |     3.4175  | 
   81  |      0.8634  |     0.7914  |     0.8039  |     3.4257  | 
   82  |      0.8728  |     0.7984  |     0.8039  |     3.3649  | 
   83  |      0.8692  |     0.7964  |     0.8039  |     3.3302  | 
   84  |      0.8738  |     0.7957  |     0.8039  |     3.3664  | 
   85  |      0.8777  |     0.7968  |     0.8039  |     3.3437  | 
   86  |      0.8736  |     0.7936  |     0.8039  |     3.2978  | 
   87  |      0.8708  |     0.7992  |     0.8039  |     3.3617  | 
   88  |      0.8697  |     0.7945  |     0.8039  |     3.2936  | 
   89  |      0.8725  |     0.7972  |     0.8039  |     3.4317  | 
   90  |      0.8754  |     0.7948  |     0.8039  |     3.4660  | 
   91  |      0.8763  |     0.7976  |     0.8039  |     3.4004  | 
   92  |      0.8735  |     0.8022  |     0.8039  |     3.4219  | 
   93  |      0.8793  |     0.7963  |     0.8039  |     3.4047  | 
   94  |      0.8813  |     0.7978  |     0.8039  |     3.4006  | 
   95  |      0.8729  |     0.7957  |     0.8039  |     3.3956  | 
   96  |      0.8690  |     0.7913  |     0.8039  |     3.3886  | 
   97  |      0.8695  |     0.8005  |     0.8039  |     3.3889  | 
   98  |      0.8716  |     0.8021  |     0.8039  |     3.3945  | 
   99  |      0.8724  |     0.7918  |     0.8039  |     3.4066  | 
  100  |      0.8727  |     0.7934  |     0.8039  |     3.4054  | 
  101  |      0.8749  |     0.7996  |     0.8039  |     3.4002  | 
  102  |      0.8743  |     0.7978  |     0.8039  |     3.4015  | 
  103  |      0.8729  |     0.7956  |     0.8039  |     3.4077  | 
  104  |      0.8736  |     0.8024  |     0.8039  |     3.4212  | 
  105  |      0.8730  |     0.7984  |     0.8039  |     3.4139  | 
  106  |      0.8745  |     0.7948  |     0.8039  |     3.4129  | 
  107  |      0.8666  |     0.8014  |     0.8039  |     3.3909  | 
  108  |      0.8777  |     0.7950  |     0.8039  |     3.3831  | 
  109  |      0.8739  |     0.7989  |     0.8039  |     3.3824  | 
  110  |      0.8695  |     0.8002  |     0.8039  |     3.3973  | 
  111  |      0.8721  |     0.7994  |     0.8039  |     3.4102  | 
  112  |      0.8750  |     0.7998  |     0.8039  |     3.3848  | 
  113  |      0.8754  |     0.7974  |     0.8039  |     3.3969  | 
  114  |      0.8710  |     0.7948  |     0.8039  |     3.3785  | 
  115  |      0.8716  |     0.7974  |     0.8039  |     3.3813  | 
  116  |      0.8745  |     0.7943  |     0.8039  |     3.3947  | 

Early stopping: no improvement for 50 epochs.

===========================================================================
  Training early stopped!
  Dataset: fisv  Label: PCS  Seed: 999
  Best SRCC: 0.8039  |  Best RL2: 3.3879  |  Best Epoch: 66
  Config: query_var=2  pe=query_pe  att_loss=True  dino_loss=True  layers=2
===========================================================================

Experiment record б· exp/0521_2143_fisv_PCS.log
