------------------------------EXP1------------------------------

===========================================================================
  Dataset: fisv  |  Label: PCS  |  Seed: 999
  Backbone: vivit  |  Neck: TQN  |  Layers: 2  |  Query Var: 2  |  PE: query_pe
  Att Loss: True  |  Dino Loss: True  |  Epochs: 1000  |  LR: 0.0001  |  Batch: 48
===========================================================================
Epoch  |  Train SRCC  |  Test SRCC  |  Best SRCC  |        RL2  | Note
-------+-------------+------------+------------+------------+--------------------
    0  |      0.0372  |     0.1058  |     0.1058  |     0.0634  | бя NEW BEST
    1  |      0.0589  |     0.3409  |     0.3409  |     0.0969  | бя NEW BEST
    2  |      0.0286  |     0.4480  |     0.4480  |     0.0414  | бя NEW BEST
    3  |      0.2540  |     0.4560  |     0.4560  |     0.1958  | бя NEW BEST
    4  |      0.3336  |     0.4454  |     0.4560  |     0.3000  | 
    5  |      0.2606  |     0.4906  |     0.4906  |     0.3243  | бя NEW BEST
    6  |      0.3832  |     0.5766  |     0.5766  |     0.3297  | бя NEW BEST
    7  |      0.4062  |     0.6005  |     0.6005  |     0.2197  | бя NEW BEST
    8  |      0.4453  |     0.5890  |     0.6005  |     0.0944  | 
    9  |      0.5702  |     0.6099  |     0.6099  |     0.3965  | бя NEW BEST
   10  |      0.6069  |     0.5781  |     0.6099  |     0.3360  | 
   11  |      0.5409  |     0.6427  |     0.6427  |     0.6626  | бя NEW BEST
   12  |      0.5317  |     0.6636  |     0.6636  |     0.1641  | бя NEW BEST
   13  |      0.5982  |     0.6836  |     0.6836  |     0.2945  | бя NEW BEST
   14  |      0.6364  |     0.6866  |     0.6866  |     0.6383  | бя NEW BEST
   15  |      0.7185  |     0.6960  |     0.6960  |     0.6871  | бя NEW BEST
   16  |      0.7247  |     0.6929  |     0.6960  |     1.5977  | 
   17  |      0.6486  |     0.7148  |     0.7148  |     1.1711  | бя NEW BEST
   18  |      0.6458  |     0.7338  |     0.7338  |     0.4849  | бя NEW BEST
   19  |      0.6583  |     0.7095  |     0.7338  |     0.0955  | 
   20  |      0.6216  |     0.7020  |     0.7338  |     0.8207  | 
   21  |      0.7337  |     0.7298  |     0.7338  |     0.3291  | 
   22  |      0.7394  |     0.7593  |     0.7593  |     0.8500  | бя NEW BEST
   23  |      0.8183  |     0.7579  |     0.7593  |     1.0212  | 
   24  |      0.7814  |     0.7622  |     0.7622  |     1.1451  | бя NEW BEST
   25  |      0.7931  |     0.7333  |     0.7622  |     1.6757  | 
   26  |      0.7101  |     0.7493  |     0.7622  |     0.0931  | 
   27  |      0.7685  |     0.7658  |     0.7658  |     0.4675  | бя NEW BEST
   28  |      0.7769  |     0.7730  |     0.7730  |     0.5261  | бя NEW BEST
   29  |      0.7835  |     0.7804  |     0.7804  |     0.6869  | бя NEW BEST
   30  |      0.7829  |     0.7693  |     0.7804  |     1.0591  | 
   31  |      0.7173  |     0.8010  |     0.8010  |     0.0722  | бя NEW BEST
   32  |      0.7576  |     0.7833  |     0.8010  |     0.3904  | 
   33  |      0.8260  |     0.7959  |     0.8010  |     0.4687  | 
   34  |      0.8450  |     0.7747  |     0.8010  |     0.5689  | 
   35  |      0.8761  |     0.7985  |     0.8010  |     0.5223  | 
   36  |      0.8337  |     0.7934  |     0.8010  |     0.1695  | 
   37  |      0.7533  |     0.7603  |     0.8010  |     0.3371  | 
   38  |      0.7658  |     0.8056  |     0.8056  |     0.1184  | бя NEW BEST
   39  |      0.8186  |     0.7382  |     0.8056  |     1.0034  | 
   40  |      0.7568  |     0.7793  |     0.8056  |     0.0778  | 
   41  |      0.8506  |     0.7691  |     0.8056  |     0.5595  | 
