epoch,train_srcc,test_srcc,best_srcc,rl2
0,0.0244,0.1634,0.1634,0.0414
1,0.0778,0.2883,0.2883,0.0818
2,0.0433,0.3590,0.3590,0.0499
3,0.3223,0.3845,0.3845,0.0539
4,0.4005,0.4310,0.4310,0.1201
5,0.5017,0.4946,0.4946,0.4465
6,0.5338,0.5973,0.5973,0.3367
7,0.5892,0.6449,0.6449,2.2772
8,0.5484,0.6865,0.6865,1.7980
9,0.5265,0.7080,0.7080,0.8278
10,0.6357,0.7113,0.7113,0.1249
11,0.5254,0.7089,0.7113,0.3539
12,0.4338,0.6351,0.7113,0.0717
13,0.5606,0.6774,0.7113,0.1276
14,0.6521,0.7256,0.7256,0.2187
15,0.6181,0.7571,0.7571,0.2346
16,0.7208,0.7451,0.7571,0.2288
17,0.7000,0.7306,0.7571,0.3472
18,0.7205,0.7274,0.7571,0.2132
19,0.7600,0.7496,0.7571,0.3785
20,0.7825,0.7572,0.7572,0.3660
21,0.8135,0.7583,0.7583,0.2201
22,0.7906,0.7427,0.7583,0.3212
23,0.8159,0.7455,0.7583,0.5305
24,0.8240,0.7766,0.7766,0.3344
25,0.8246,0.7848,0.7848,0.2660
26,0.8045,0.7644,0.7848,0.1481
27,0.8305,0.7724,0.7848,0.1837
28,0.7803,0.7048,0.7848,0.0615
29,0.7796,0.7474,0.7848,0.1870
30,0.8080,0.7708,0.7848,0.3235
31,0.7239,0.7156,0.7848,0.0852
32,0.7992,0.7481,0.7848,0.1820
33,0.8469,0.7699,0.7848,0.4491
34,0.8412,0.7412,0.7848,0.1604
35,0.8481,0.7154,0.7848,0.3050
36,0.8230,0.7375,0.7848,0.1969
37,0.8619,0.7168,0.7848,0.3682
38,0.8516,0.6751,0.7848,0.4305
39,0.8351,0.7105,0.7848,0.0721
40,0.8213,0.7999,0.7999,0.1084
41,0.8523,0.7681,0.7999,0.2763
42,0.8970,0.7184,0.7999,0.1090
43,0.8738,0.8098,0.8098,0.3894
44,0.8776,0.7676,0.8098,0.1601
45,0.9230,0.7584,0.8098,0.2319
46,0.9208,0.7803,0.8098,0.2803
47,0.9176,0.7635,0.8098,0.4000
48,0.9141,0.7778,0.8098,0.3608
49,0.9209,0.7618,0.8098,0.3584
50,0.9265,0.7756,0.8098,0.3419
51,0.9226,0.7653,0.8098,0.3462
52,0.9289,0.7584,0.8098,0.4027
53,0.9286,0.7685,0.8098,0.3952
54,0.9231,0.7587,0.8098,0.3903
55,0.9306,0.7696,0.8098,0.3647
56,0.9282,0.7660,0.8098,0.3495
57,0.9304,0.7569,0.8098,0.3886
58,0.9236,0.7676,0.8098,0.3439
59,0.9314,0.7650,0.8098,0.3217
60,0.9321,0.7445,0.8098,0.4085
61,0.9268,0.7694,0.8098,0.3722
62,0.9189,0.7610,0.8098,0.4038
63,0.9327,0.7616,0.8098,0.3867
64,0.9292,0.7764,0.8098,0.3552
65,0.9304,0.7606,0.8098,0.4012
66,0.9352,0.7686,0.8098,0.3941
67,0.9376,0.7665,0.8098,0.4009
68,0.9400,0.7534,0.8098,0.4554
69,0.9340,0.7604,0.8098,0.3946
70,0.9292,0.7732,0.8098,0.3611
71,0.9277,0.7501,0.8098,0.3227
72,0.9345,0.7323,0.8098,0.3278
73,0.9233,0.7628,0.8098,0.3214
74,0.9341,0.7678,0.8098,0.3808
75,0.9361,0.7517,0.8098,0.4345
76,0.9366,0.7561,0.8098,0.3661
77,0.9430,0.7618,0.8098,0.3507
78,0.9413,0.7677,0.8098,0.3857
79,0.9387,0.7703,0.8098,0.4423
80,0.9426,0.7555,0.8098,0.3563
81,0.9322,0.7697,0.8098,0.3166
82,0.9412,0.7941,0.8098,0.4080
83,0.9291,0.7578,0.8098,0.3883
84,0.9436,0.7750,0.8098,0.4260
85,0.9448,0.7703,0.8098,0.4312
86,0.9418,0.7458,0.8098,0.3723
87,0.9365,0.7824,0.8098,0.3700
88,0.9317,0.7583,0.8098,0.4664
89,0.9419,0.7774,0.8098,0.4321
90,0.9459,0.7761,0.8098,0.4378
91,0.9454,0.7773,0.8098,0.4363
92,0.9482,0.7732,0.8098,0.4280
93,0.9462,0.7715,0.8098,0.4325
