epoch,train_srcc,test_srcc,best_srcc,rl2
0,-0.0061,0.1693,0.1693,2.5328
1,0.0168,0.2323,0.2323,0.0520
2,0.0247,0.3537,0.3537,0.7586
3,0.2515,0.4781,0.4781,0.1365
4,0.2708,0.5425,0.5425,0.4603
5,0.4399,0.5692,0.5692,0.4055
6,0.4306,0.5593,0.5692,0.4427
7,0.4782,0.5949,0.5949,0.2809
8,0.5087,0.6387,0.6387,0.6580
9,0.4944,0.6796,0.6796,0.0581
10,0.4298,0.6680,0.6796,1.1263
11,0.5152,0.6967,0.6967,0.0541
12,0.3984,0.6967,0.6967,0.4377
13,0.5422,0.7043,0.7043,0.6897
14,0.5921,0.6914,0.7043,0.2121
15,0.6547,0.7139,0.7139,0.6270
16,0.6999,0.7658,0.7658,0.8669
17,0.5731,0.7635,0.7658,0.0889
18,0.6475,0.7835,0.7835,0.4215
19,0.7454,0.7966,0.7966,0.3970
20,0.7719,0.8022,0.8022,0.1799
21,0.7432,0.8045,0.8045,0.1430
22,0.7647,0.8064,0.8064,0.1590
23,0.7814,0.8041,0.8064,0.3406
24,0.7768,0.7886,0.8064,0.9115
25,0.7235,0.7887,0.8064,0.9690
26,0.7124,0.7938,0.8064,0.4322
27,0.7698,0.8187,0.8187,0.1607
28,0.7676,0.8103,0.8187,0.1373
29,0.7993,0.8154,0.8187,0.9194
30,0.7429,0.8190,0.8190,0.5473
31,0.7926,0.8300,0.8300,0.3159
32,0.8378,0.7977,0.8300,0.2105
33,0.7799,0.8174,0.8300,0.2416
34,0.8578,0.8284,0.8300,0.7547
35,0.7392,0.8169,0.8300,0.5085
36,0.8389,0.8152,0.8300,0.7356
37,0.8333,0.8323,0.8323,0.3577
38,0.8544,0.8368,0.8368,0.2087
39,0.7348,0.8389,0.8389,0.3649
40,0.8269,0.8106,0.8389,0.1921
41,0.7694,0.7975,0.8389,0.1961
42,0.8321,0.8045,0.8389,0.4121
43,0.8553,0.8070,0.8389,0.5415
44,0.8688,0.8111,0.8389,0.3300
45,0.8503,0.8059,0.8389,0.2237
46,0.8602,0.8152,0.8389,0.4802
47,0.8897,0.7964,0.8389,0.3755
48,0.8976,0.8138,0.8389,0.2911
49,0.8933,0.8106,0.8389,0.9487
50,0.8748,0.8050,0.8389,0.9545
51,0.8343,0.8240,0.8389,1.7736
52,0.7767,0.8147,0.8389,1.0174
53,0.8321,0.8203,0.8389,1.1653
54,0.7934,0.7998,0.8389,0.1788
55,0.8513,0.8166,0.8389,0.1231
56,0.7836,0.8195,0.8389,0.4927
57,0.8758,0.8353,0.8389,1.2129
58,0.8419,0.8398,0.8398,1.1759
59,0.8355,0.8242,0.8398,0.8234
60,0.8573,0.7797,0.8398,0.0736
61,0.6768,0.7854,0.8398,0.0614
62,0.7637,0.8099,0.8398,0.9398
63,0.6309,0.8106,0.8398,0.1456
64,0.7975,0.8272,0.8398,0.2855
65,0.8837,0.8135,0.8398,0.3470
66,0.9101,0.8121,0.8398,0.4899
67,0.9129,0.8124,0.8398,0.6275
68,0.9152,0.7958,0.8398,0.5298
69,0.9204,0.8147,0.8398,1.1342
70,0.8933,0.7869,0.8398,0.2846
71,0.8661,0.7883,0.8398,0.2720
72,0.8672,0.7656,0.8398,0.2980
73,0.8998,0.7301,0.8398,0.5106
74,0.9049,0.7757,0.8398,0.7906
75,0.8898,0.7609,0.8398,0.9373
76,0.8656,0.7327,0.8398,0.3323
77,0.8869,0.7353,0.8398,0.2211
