------------------------------EXP1------------------------------

===========================================================================
  Dataset: fisv  |  Label: TES  |  Seed: 999
  Backbone: vivit  |  Neck: TQN  |  Layers: 2  |  Query Var: 2  |  PE: query_pe
  Att Loss: True  |  Dino Loss: True  |  Epochs: 1000  |  LR: 5e-05  |  Batch: 32
===========================================================================
Epoch  |  Train SRCC  |  Test SRCC  |  Best SRCC  |        RL2  | Note
-------+-------------+------------+------------+------------+--------------------
    0  |      0.0279  |     0.0961  |     0.0961  |     2.0865  | бя NEW BEST
    1  |      0.1123  |     0.1401  |     0.1401  |     2.2536  | бя NEW BEST
    2  |      0.0724  |     0.2482  |     0.2482  |     1.5663  | бя NEW BEST
    3  |      0.1317  |     0.2891  |     0.2891  |     1.4741  | бя NEW BEST
    4  |      0.1659  |     0.2659  |     0.2891  |     1.6208  | 
    5  |      0.2240  |     0.2844  |     0.2891  |     2.0103  | 
    6  |      0.2486  |     0.2962  |     0.2962  |     2.1212  | бя NEW BEST
    7  |      0.2921  |     0.3383  |     0.3383  |     1.6132  | бя NEW BEST
    8  |      0.4020  |     0.3614  |     0.3614  |     1.4568  | бя NEW BEST
    9  |      0.4312  |     0.4077  |     0.4077  |     1.3334  | бя NEW BEST
   10  |      0.5003  |     0.3859  |     0.4077  |     2.2060  | 
   11  |      0.4239  |     0.4244  |     0.4244  |     0.2680  | бя NEW BEST
   12  |      0.3822  |     0.4339  |     0.4339  |     2.6692  | бя NEW BEST
   13  |      0.4411  |     0.4717  |     0.4717  |     0.9088  | бя NEW BEST
   14  |      0.5122  |     0.4537  |     0.4717  |     1.8086  | 
   15  |      0.5088  |     0.4890  |     0.4890  |     1.7735  | бя NEW BEST
   16  |      0.5566  |     0.4822  |     0.4890  |     1.1712  | 
   17  |      0.5359  |     0.5176  |     0.5176  |     1.6814  | бя NEW BEST
   18  |      0.5814  |     0.5113  |     0.5176  |     2.1267  | 
   19  |      0.5401  |     0.5287  |     0.5287  |     1.1036  | бя NEW BEST
   20  |      0.5344  |     0.5609  |     0.5609  |     1.9223  | бя NEW BEST
   21  |      0.6110  |     0.5673  |     0.5673  |     2.4638  | бя NEW BEST
   22  |      0.5173  |     0.5149  |     0.5673  |     2.8294  | 
   23  |      0.5562  |     0.5585  |     0.5673  |     1.9894  | 
   24  |      0.6470  |     0.5827  |     0.5827  |     2.1203  | бя NEW BEST
   25  |      0.6753  |     0.6076  |     0.6076  |     3.1844  | бя NEW BEST
   26  |      0.5743  |     0.5986  |     0.6076  |     1.8554  | 
   27  |      0.5973  |     0.5894  |     0.6076  |     1.3789  | 
   28  |      0.6984  |     0.6245  |     0.6245  |     3.6201  | бя NEW BEST
   29  |      0.5719  |     0.6106  |     0.6245  |     2.8182  | 
   30  |      0.6828  |     0.6242  |     0.6245  |     1.7520  | 
   31  |      0.7174  |     0.6467  |     0.6467  |     2.2942  | бя NEW BEST
   32  |      0.7237  |     0.6258  |     0.6467  |     2.2500  | 
   33  |      0.7354  |     0.6636  |     0.6636  |     2.2333  | бя NEW BEST
   34  |      0.7360  |     0.6656  |     0.6656  |     2.3801  | бя NEW BEST
   35  |      0.7462  |     0.6662  |     0.6662  |     2.3061  | бя NEW BEST
   36  |      0.7372  |     0.6364  |     0.6662  |     2.3431  | 
   37  |      0.7338  |     0.6429  |     0.6662  |     2.5285  | 
   38  |      0.7364  |     0.6394  |     0.6662  |     2.6214  | 
   39  |      0.7355  |     0.6378  |     0.6662  |     2.5866  | 
